S.NO,Source,Type,Target,converted_date_May
0,857138,Meetings,728286,5/1/2016 13:12
1,1108217,Meetings,728286,8/8/2017 16:05
2,857138,Meetings,1690582,8/29/2017 12:12
3,1690582,Meetings,1847246,9/3/2017 3:18
4,857138,Meetings,1886447,11/8/2015 8:00
0,1108217,Emails,51780,1/18/2016 13:38
1,696047,Emails,234164,5/17/2016 20:38
2,728286,Emails,387200,2/17/2017 5:38
3,1108217,Emails,387200,2/2/2016 17:38
4,1108217,Emails,387200,4/14/2017 22:18
5,857138,Emails,387676,11/25/2015 22:38
6,1023940,Emails,387676,5/3/2017 7:38
7,1642962,Emails,387676,2/23/2016 15:38
8,1663285,Emails,387676,12/9/2017 15:38
9,1642962,Emails,505444,12/19/2015 13:38
10,1108217,Emails,623027,3/24/2016 3:38
11,234164,Emails,696047,3/10/2017 17:38
12,728286,Emails,696047,12/28/2016 20:38
13,969089,Emails,696047,8/20/2016 6:38
14,1642962,Emails,696047,2/6/2016 12:38
15,1886447,Emails,696047,6/5/2016 3:38
16,387200,Emails,728286,12/4/2016 22:38
17,696047,Emails,728286,12/31/2015 21:38
18,1847246,Emails,728286,9/18/2017 4:33
19,1847246,Emails,728286,9/20/2017 12:07
20,387676,Emails,857138,5/24/2017 22:38
21,969089,Emails,857138,1/7/2016 6:38
22,1690582,Emails,857138,1/2/2016 21:38
23,1847246,Emails,857138,2/15/2016 2:38
24,696047,Emails,969089,1/23/2016 2:38
25,857138,Emails,969089,1/15/2016 13:38
26,387676,Emails,1023940,12/10/2015 19:38
27,857138,Emails,1023940,6/4/2016 0:38
28,1642962,Emails,1023940,2/5/2016 20:38
29,51780,Emails,1039322,11/18/2015 8:38
30,387200,Emails,1039322,5/19/2016 10:38
31,1108217,Emails,1039322,12/21/2015 22:38
32,623027,Emails,1108217,1/18/2016 18:38
33,696047,Emails,1108217,11/22/2017 4:38
34,728286,Emails,1108217,11/9/2015 23:38
35,728286,Emails,1108217,5/1/2016 22:38
36,728286,Emails,1108217,6/6/2016 15:38
37,728286,Emails,1108217,6/7/2016 11:38
38,1039322,Emails,1108217,2/8/2016 19:38
39,1663285,Emails,1108217,8/16/2017 20:40
40,1690582,Emails,1108217,8/16/2016 21:38
41,1847246,Emails,1108217,11/15/2015 2:38
42,387676,Emails,1642962,11/23/2015 23:38
43,696047,Emails,1642962,6/24/2016 14:38
44,1023940,Emails,1642962,12/29/2015 19:38
45,1663285,Emails,1642962,6/26/2016 3:38
46,1690582,Emails,1642962,11/23/2015 19:38
47,387676,Emails,1663285,12/24/2015 17:38
48,1023940,Emails,1663285,11/10/2015 12:38
49,857138,Emails,1690582,6/10/2016 16:38
50,1039322,Emails,1690582,11/7/2015 9:38
51,1847246,Emails,1690582,3/20/2016 21:38
52,728286,Emails,1847246,9/14/2017 18:32
53,728286,Emails,1847246,9/14/2017 20:57
54,857138,Emails,1847246,11/18/2015 13:38
55,1108217,Emails,1847246,11/14/2015 1:38
56,1690582,Emails,1847246,12/10/2015 10:38
57,1690582,Emails,1847246,12/11/2015 1:38
58,1690582,Emails,1847246,3/8/2016 22:38
59,387200,Emails,1886447,5/24/2016 23:38
60,696047,Emails,1886447,11/12/2016 4:38
0,234164,Calls,28520,7/6/2016 4:15
1,696047,Calls,28520,11/9/2015 6:02
2,969089,Calls,28520,8/15/2016 18:14
3,387200,Calls,51780,11/8/2015 11:18
4,696047,Calls,234164,11/16/2015 18:20
5,728286,Calls,234164,11/8/2015 8:38
6,969089,Calls,234164,4/30/2016 5:24
7,728286,Calls,387200,5/7/2016 2:54
8,1039322,Calls,387200,11/6/2015 2:50
9,1847246,Calls,387200,2/7/2016 10:33
10,1886447,Calls,505444,3/26/2016 4:39
11,28520,Calls,696047,11/26/2015 8:15
12,234164,Calls,696047,2/2/2016 11:41
13,728286,Calls,696047,11/6/2015 18:23
14,234164,Calls,728286,11/20/2015 11:44
15,387200,Calls,728286,2/11/2016 5:07
16,696047,Calls,728286,12/17/2016 1:51
17,857138,Calls,728286,11/8/2015 11:03
18,857138,Calls,728286,5/2/2016 16:58
19,1847246,Calls,728286,4/29/2017 3:38
20,1847246,Calls,728286,5/1/2017 3:38
21,1847246,Calls,728286,9/14/2017 17:13
22,1847246,Calls,728286,9/20/2017 3:38
23,1847246,Calls,728286,9/23/2017 3:38
24,1847246,Calls,728286,9/24/2017 3:38
25,1847246,Calls,728286,9/26/2017 3:38
26,1847246,Calls,728286,9/29/2017 3:38
27,1023940,Calls,857138,11/18/2015 16:05
28,1108217,Calls,857138,12/20/2016 4:32
29,1642962,Calls,857138,12/9/2015 8:22
30,28520,Calls,969089,9/18/2016 6:00
31,696047,Calls,969089,7/25/2016 7:35
32,1886447,Calls,969089,11/19/2015 7:28
33,387676,Calls,1023940,12/23/2017 11:46
34,857138,Calls,1023940,4/12/2016 0:01
35,51780,Calls,1039322,11/7/2015 3:55
36,1108217,Calls,1039322,12/17/2015 10:50
37,1690582,Calls,1039322,12/6/2015 17:55
38,387200,Calls,1108217,5/17/2016 15:48
39,857138,Calls,1108217,11/4/2015 16:02
40,857138,Calls,1108217,4/26/2016 21:54
41,1039322,Calls,1108217,12/10/2015 8:06
42,1663285,Calls,1108217,11/25/2015 9:35
43,1690582,Calls,1108217,3/15/2016 11:49
44,1690582,Calls,1108217,10/23/2016 7:38
45,1847246,Calls,1108217,2/27/2016 21:49
46,505444,Calls,1642962,11/12/2015 1:51
47,857138,Calls,1642962,3/9/2016 15:14
48,1108217,Calls,1663285,7/14/2016 20:57
49,387200,Calls,1690582,1/19/2016 22:32
50,857138,Calls,1690582,11/4/2015 18:21
51,857138,Calls,1690582,4/26/2016 21:54
52,1039322,Calls,1690582,11/21/2015 13:46
53,1108217,Calls,1690582,2/20/2016 6:14
54,1847246,Calls,1690582,12/29/2015 18:33
55,387200,Calls,1847246,12/7/2017 2:29
56,728286,Calls,1847246,9/14/2017 17:13
57,728286,Calls,1847246,9/20/2017 3:38
58,728286,Calls,1847246,9/20/2017 13:13
59,728286,Calls,1847246,9/22/2017 3:38
60,728286,Calls,1847246,10/22/2017 3:38
61,728286,Calls,1847246,10/24/2017 3:38
62,728286,Calls,1847246,10/25/2017 3:38
63,1108217,Calls,1847246,8/17/2016 11:30
64,1690582,Calls,1847246,11/8/2015 7:22
65,1690582,Calls,1847246,11/20/2015 3:06
66,28520,Calls,1886447,11/6/2015 5:45
67,505444,Calls,1886447,4/24/2016 2:10
68,969089,Calls,1886447,12/1/2015 6:04
69,1847246,Calls,2038003,9/19/2017 22:05
0,1847246,Purchases,2038003,9/20/2017 14:45
